Strain.ID	"""Taxonomic"" classification*"	3-letter code*	Genomospecies	Host	Host Type	Location Code^	Opine Type	Year Isolated	Class of oncogenic plasmid	Type  of oncogenic plasmid	NCBI accession
A4	rhizogenes	BV2		Rose	Woody		Agrocinopine/Agropine	<1963	Ri	(Ri) Type III	SAMN14165422
Ach5	tumefaciens	BV1	G1	Yarrow	Herbaceous	S2_N2	Octopine/Agropine		Ti	Type II	SAMN14165423
H16/79	rhizogenes	BV2		Rose	Woody	C4	Agrocinopine/Other	1979	Ti	Type Ib	SAMN14165424
CG101/95	rhizogenes	BV2		Grape	Grape (Woody)	S6_N22		1995	NA	None	SAMN14165425
W2/73	rubi	Aru		Euonymus	Woody	S6	Agrocinopine/Other	1973	Ti	Type Ib	SAMN14165629
Di1462	rhizogenes	BV2		Rose	Woody	S8_N31	Nopaline	NA	Ti	Type Ia	SAMN14165426
A 6.4	rhizogenes	BV2		Cherry	Woody	C8_N37	Nopaline	2008	Ti	Type Ia	SAMN14165427
LMG 305	tumefaciens	BV1	G4	Stonecrop (Sedum)	Herbaceous	C6	Nopaline	1958	Ti	Type Ib	SAMN14165428
CM79/95	rhizogenes	BV2		Grape	Grape (Woody)	S6_N22	Nopaline	1995	Ti	Type Ia	SAMN14165429
BM37/95	vitis	BV3		Grape	Grape (Woody)		Vitopine/Nopaline	1995	Ti	Type V	SAMN14165430
J10B/93	rhizogenes	BV2		Olallieberry	Woody	S2_N9	Nopaline	1993	Ti	Type Ib	SAMN14165431
R 10.1	rhizogenes	BV2		Peach	Woody	C8_N39	Nopaline	2009	Ti	Type Ia	SAMN14165432
N64/94	rhizogenes	BV2		Raspberry	Woody	S6_N25	Nopaline	1994	Ti	Type Ia	SAMN14165433
A 13.1	rhizogenes	BV2		Cherry	Woody	C8_N42	Nopaline	2009	Ti	Type Ia	SAMN14165434
PVM 1,5	rhizogenes	BV2		Peach	Woody	C8_N49	Nopaline	2008	Ti	Type Ia	SAMN14165435
P86/93	vitis	BV3		Grape	Grape (Woody)		Nopaline	1993	Ti	Type IVa	SAMN14165436
T268/95	vitis	BV3		Grape	Grape (Woody)		Vitopine/Nopaline	1995	Ti	Type V	SAMN14165437
B131/95	rhizogenes	BV2		Peach/Almond Rootstock	Woody	S2_N5	Nopaline	1995	Ti	Type Ia	SAMN04901296
D108/85	rhizogenes	BV2		Blueberry	Woody			1985	NA	None	SAMN14165438
D1/76	rhizogenes	BV2		Rose	Woody	S6	Nopaline	1976	Ti	Type Ia	SAMN14165439
AL 9.2.2	Neorhizobium			Plum	Woody			2008	NA	None	SAMN14165440
PVM 10.5	rhizogenes	BV2		Peach	Woody	C8_N38	Nopaline	2009	Ti	Type Ia	SAMN14165441
T60/94	vitis	BV3		Grape	Grape (Woody)		Nopaline	1994	Ti	Type IVa	SAMN14165442
U167/95	rhizogenes	BV2		Grape	Grape (Woody)			1995	NA	None	SAMN14165443
13-2099-1-2	tumefaciens	BV1	G1	Aspen	Woody	S3_N12	Nopaline	2013	Ti	Type Ib	SAMN04901292
L29/94	rhizogenes	BV2		Blueberry	Woody	S6_N20	Nopaline	1994	Ti	Type Ia	SAMN14165444
AF82/95	tumefaciens	BV1	G1	Lilac	Woody	S2_N7	Octopine/Agropine	1995	Ti	Type II	SAMN14165445
RO 10.5	rhizogenes	BV2		Rose	Woody	C8_N43	Nopaline	2009	Ti	Type Ia	SAMN14165446
D2/76	rhizogenes	BV2		Rose	Woody	S6	Nopaline	1976	Ti	Type Ia	SAMN14165447
AL. 21.2	rhizogenes	BV2		Plum	Woody	C8_N40	Nopaline	2009	Ti	Type Ia	SAMN14165448
R 1.1	rhizogenes	BV2		Peach	Woody	C8_N41	Nopaline	2008	Ti	Type Ia	SAMN14165449
D1/94	rhizogenes	BV2		Grape	Grape (Woody)	S6_N26	Nopaline	1994	Ti	Type Ia	SAMN14165450
15-1187-1-2a	tumefaciens	BV1	G1	Yarrow	Herbaceous	C4_N13	Nopaline/Chrysopine	2015	Ti	Type III	SAMN04901301
B133/95	rhizogenes	BV2		Peach/Almond Rootstock	Woody	S2_N5	Nopaline	1995	Ti	Type Ia	SAMN04901297
D100/85	rhizogenes	BV2		Blueberry	Woody			1985	NA	None	SAMN14165451
AF52/95	tumefaciens	BV1	G1	Lilac	Woody	S2_N7	Octopine/Agropine	1995	Ti	Type II	SAMN14165452
W 1.1	rhizogenes	BV2		Plum	Woody	C8_N35	Nopaline	2008	Ti	Type Ia	SAMN14165453
G 8.3	tumefaciens	BV1	G1	Cherry	Woody	C8_N34	Nopaline	2008	Ti	Type Ia	SAMN14165454
T267/94	vitis	BV3		Grape	Grape (Woody)		Nopaline	1994	Ti	Type IVa	SAMN14165455
15-1187-1-2b	tumefaciens	BV1	G1	Yarrow	Herbaceous	C4_N13	Nopaline/Chrysopine	2015	Ti	Type III	SAMN04901302
N2/73	tumefaciens	BV1	G1	Raspberry	Woody	S6	Nopaline	1973	Ti	Type Ia	SAMN04901299
L20/94	rhizogenes	BV2		Blueberry	Woody	S6_N20		1994	NA	None	SAMN14165456
AF1/95	tumefaciens	BV1	G1	Lilac	Woody	S2_N7	Octopine/Agropine	1995	Ti	Type II	SAMN14165457
W 1.4	rhizogenes	BV2		Plum	Woody	C8_N35	Nopaline	2008	Ti	Type Ia	SAMN14165458
LMG 215	tumefaciens	BV1	G4	Hop	Herbaceous			1928	NA	None	SAMN06693640
T393/94	vitis	BV3		Grape	Grape (Woody)		Nopaline	1994	Ti	Type IVa	SAMN14165459
B140/95	tumefaciens	BV1	G4	Peach/Almond Rootstock	Woody	S2_N5	Octopine/Agropine	1995	Ti	Type II	SAMN04901298
IL30	tumefaciens		G1	Rose	Woody	C5	Agrocinopine/Other	NA	Ti	Type Ib	SAMN14165460
G 10.5	rhizogenes	BV2		Cherry	Woody	C8_N36	Nopaline	2009	Ti	Type Ia	SAMN14165461
LMG 232	tumefaciens	BV1	G1	Beet	Herbaceous			1963	NA	None	SAMN14165462
V80/94	vitis	BV3		Grape	Grape (Woody)		Vitopine/Nopaline	1994	Ti	Type V	SAMN14165463
15-172	tumefaciens	BV1	G7_a	Shasta Daisy	Herbaceous	S9_N46	Nopaline/Chrysopine		Ti	Type III	SAMN04901304
AC44/96	BV2-like	BV2-like		Japanese pieris	Woody			1996	NA	None	SAMN04901295
FPH-AT4	tumefaciens	BV1	G1	Blanket flower (Gaillardia)	Herbaceous	S7_N19	Nopaline/Mannopine	2014	Ti	Type III	SAMN14165464
W9/94	tumefaciens	BV1	G1	Walnut	Woody	S2_N1	Nopaline	1994	Ti	Type Ia	SAMN14165465
RO 2.2	rhizogenes	BV2		Rose	Woody	C8_N33	Nopaline	2009	Ti	Type Ia	SAMN14165466
LMG 267	tumefaciens	BV1	G4	Tomato	Herbaceous		Octopine/Agropine	1935	Ti	Type II	SAMN14165467
AV25/95	vitis	BV3		Grape	Grape (Woody)		Vitopine/Nopaline	1995	Ti	Type V	SAMN14165468
15-174	tumefaciens	BV1	G1	Shasta Daisy	Herbaceous	S9_N46	Nopaline/Chrysopine	2015	Ti	Type III	SAMN04901305
AC27/96	BV2-like	BV2-like		Japanese pieris	Woody				NA	None	SAMN04901294
FPH-AR2	larrymoorei	Ala		Blanket flower (Gaillardia)	Herbaceous	S7_N19	Nopaline/Chrysopine	2014	Ti	Type III	SAMN14165469
CM65/95	rhizogenes	BV2		Grape	Grape (Woody)	S6_N22	Agrocinopine/Other	1995	Ti	Type Ib	SAMN14165470
RO 11.4	rhizogenes	BV2		Rose	Woody	C8_N43	Nopaline	2010	Ti	Type Ia	SAMN14165471
LMG 292	tumefaciens	BV1	G8_c	Lettuce	Herbaceous			1974	NA	None	SAMN14165472
CG53/95	tumefaciens	BV1	G1	Grape	Grape (Woody)	S6_N22		1995	NA	None	SAMN14165473
