Strain.ID	""Taxonomic"" classification*	3-letter code*	Genomospecies	Host	Host Type	Location Code^	Opine Type	Year Isolated	Class of oncogenic plasmid	Type  of oncogenic plasmid	NCBI accession	mlsa_node_id	beast_node_id
A4	rhizogenes	BV2	NA	Rose	Woody	NA	Agrocinopine/Agropine	1963	Ri	(Ri) Type III	SAMN14165422	A4__BV2	A4
Ach5	tumefaciens	BV1	G1	Yarrow	Herbaceous	S2_N2	Octopine/Agropine	NA	Ti	Type II	SAMN14165423	Ach5__BV1	Ach5
H16/79	rhizogenes	BV2	NA	Rose	Woody	C4	Agrocinopine/Other	1979	Ti	Type Ib	SAMN14165424	H16_79__BV2	H16_79
CG101/95	rhizogenes	BV2	NA	Grape	Grape (Woody)	S6_N22	NA	1995	NA	None	SAMN14165425	CG101_95__BV2	CG101_95
W2/73	rubi	Aru	NA	Euonymus	Woody	S6	Agrocinopine/Other	1973	Ti	Type Ib	SAMN14165629	W2_73__Aru	W2_73
Di1462	rhizogenes	BV2	NA	Rose	Woody	S8_N31	Nopaline	NA	Ti	Type Ia	SAMN14165426	Di1462__BV2	Di1462
A 6.4	rhizogenes	BV2	NA	Cherry	Woody	C8_N37	Nopaline	2008	Ti	Type Ia	SAMN14165427	A_6.4__BV2	A_6.4
LMG 305	tumefaciens	BV1	G4	Stonecrop (Sedum)	Herbaceous	C6	Nopaline	1958	Ti	Type Ib	SAMN14165428	LMG_305__BV1	LMG_305
CM79/95	rhizogenes	BV2	NA	Grape	Grape (Woody)	S6_N22	Nopaline	1995	Ti	Type Ia	SAMN14165429	CM79_95__BV2	CM79_95
BM37/95	vitis	BV3	NA	Grape	Grape (Woody)	NA	Vitopine/Nopaline	1995	Ti	Type V	SAMN14165430	BM37_95__BV3	BM37_95
J10B/93	rhizogenes	BV2	NA	Olallieberry	Woody	S2_N9	Nopaline	1993	Ti	Type Ib	SAMN14165431	J10B_93__BV2	J10B_93
R 10.1	rhizogenes	BV2	NA	Peach	Woody	C8_N39	Nopaline	2009	Ti	Type Ia	SAMN14165432	R_10.1__BV2	R_10.1
N64/94	rhizogenes	BV2	NA	Raspberry	Woody	S6_N25	Nopaline	1994	Ti	Type Ia	SAMN14165433	N64_94__BV2	N64_94
A 13.1	rhizogenes	BV2	NA	Cherry	Woody	C8_N42	Nopaline	2009	Ti	Type Ia	SAMN14165434	A_13.1__BV2	A_13.1
PVM 1,5	rhizogenes	BV2	NA	Peach	Woody	C8_N49	Nopaline	2008	Ti	Type Ia	SAMN14165435	PVM_1,5__BV2	PVM_1,5
P86/93	vitis	BV3	NA	Grape	Grape (Woody)	NA	Nopaline	1993	Ti	Type IVa	SAMN14165436	P86_93__BV3	P86_93
T268/95	vitis	BV3	NA	Grape	Grape (Woody)	NA	Vitopine/Nopaline	1995	Ti	Type V	SAMN14165437	T268_95__BV3	T268_95
B131/95	rhizogenes	BV2	NA	Peach/Almond Rootstock	Woody	S2_N5	Nopaline	1995	Ti	Type Ia	SAMN04901296	B131_95__BV2	B131_95
D108/85	rhizogenes	BV2	NA	Blueberry	Woody	NA	NA	1985	NA	None	SAMN14165438	D108_85__BV2	D108_85
D1/76	rhizogenes	BV2	NA	Rose	Woody	S6	Nopaline	1976	Ti	Type Ia	SAMN14165439	D1_76__BV2	D1_76
AL 9.2.2	Neorhizobium		NA	Plum	Woody	NA	NA	2008	NA	None	SAMN14165440	AL_9.2.2__	AL_9.2.2
PVM 10.5	rhizogenes	BV2	NA	Peach	Woody	C8_N38	Nopaline	2009	Ti	Type Ia	SAMN14165441	PVM_10.5__BV2	PVM_10.5
T60/94	vitis	BV3	NA	Grape	Grape (Woody)	NA	Nopaline	1994	Ti	Type IVa	SAMN14165442	T60_94__BV3	T60_94
